City,Lat,Long,Min_Temp,Max_Temp,Min_Rain,Max_Rain,Min_Humid,Max_Humid,Temp_Trend,Climate
Ichuville,99,41,84,103,19,44,33,86,0,0
Cusmville,54,29,44,69,29,41,4,70,1,4
Loiquberg,1,79,7,31,17,40,2,64,1,1
Smoiberg,49,9,26,59,1,22,23,68,1,4
Joamehtown,61,68,47,56,29,37,48,82,1,4
Peaville,23,8,15,44,5,7,49,97,1,1
Noapolis,97,73,33,46,17,21,47,67,0,4
Esmoville,24,58,32,65,21,35,21,69,1,1
Waiville,68,42,70,91,30,50,6,11,1,3
Stoahville,83,38,20,42,25,31,38,63,1,4
Tojoltown,15,11,67,71,19,22,47,56,0,1
Buphpolis,22,98,78,80,6,27,33,42,1,2
Atheyville,62,72,57,68,21,41,37,67,1,1
Thie City,48,69,80,91,11,21,16,47,0,4
Smierberg,52,65,84,113,16,26,24,46,0,4
Nienville,65,6,25,42,3,8,47,69,1,4
Stiegpolis,59,50,24,59,30,32,41,46,1,1
Smiejpolis,87,17,45,62,28,32,2,5,0,1
Ghuphville,38,24,61,74,6,27,48,76,0,4
Figetville,83,37,33,66,9,17,55,80,1,1
Diekpolis,60,59,67,83,0,20,19,38,1,1
Meelville,4,3,11,31,3,17,40,70,0,2
Phuthtown,58,21,46,65,21,43,39,65,1,0
Shiettown,98,3,16,41,25,32,8,28,1,2
Coumville,60,91,35,47,0,17,4,33,1,1
Istupolis,62,6,75,97,27,51,48,79,0,3
Goajalville,10,61,4,12,21,32,49,97,1,3
Cuphotberg,0,58,77,91,10,12,27,36,0,4
Spoo City,24,38,78,83,14,37,12,42,0,3
Poipukville,34,54,77,99,20,30,37,93,1,2
Miebukpolis,73,38,57,69,12,30,15,44,1,4
Tughocpolis,5,89,50,85,8,25,14,84,1,2
Ichiwville,52,60,58,78,15,34,14,35,1,3
Choi City,35,44,4,8,30,48,47,67,0,3
Picakberg,34,9,60,66,22,43,34,91,0,3
Pheatown,30,11,64,98,3,21,49,66,1,2
Deet City,38,20,38,66,21,36,37,92,1,1
Pieyofberg,83,93,20,53,16,24,27,82,1,3
Ephudtown,90,15,57,81,15,35,2,47,1,2
Aquuj City,55,95,11,24,29,34,28,45,0,2
Chiepberg,0,99,56,75,28,32,4,14,1,4
Rugholpolis,11,92,36,39,27,29,3,66,1,4
Kaispberg,30,66,8,26,28,45,8,17,0,2
Foonafpolis,5,51,34,45,8,26,37,81,0,2
Othifpolis,50,27,45,69,26,49,44,55,1,2
Lath City,17,90,76,101,27,46,7,42,0,3
Fatawpolis,33,37,15,22,28,47,33,57,0,1
Shoo City,73,33,11,32,2,10,54,76,0,4
Kustalpolis,92,59,46,62,21,34,30,82,0,4
Neaspberg,12,93,0,16,27,45,4,74,0,0
Conahpolis,67,91,15,21,28,32,32,37,1,0
Wufam City,74,81,85,92,10,21,16,87,1,4
Noshepberg,44,33,38,57,17,32,22,45,0,2
Douville,25,85,63,70,8,27,34,45,0,4
Ugheville,67,78,4,13,4,28,31,81,0,2
Cosonberg,31,66,0,17,20,43,20,40,1,3
Loshtown,14,50,69,104,15,40,54,87,1,3
Loosh City,90,84,57,84,30,40,35,90,1,2
Raquokpolis,91,82,35,43,5,11,12,70,1,0
Ciest City,73,87,57,73,5,8,38,63,0,1
Rooyville,12,15,26,38,6,22,17,61,1,4
Toosberg,35,65,11,18,10,25,22,83,1,3
Hoanultown,94,87,46,63,23,27,24,83,1,1
Phouberg,13,74,80,113,1,26,23,94,0,4
Chosptown,57,41,72,78,14,30,14,23,1,3
Nuquiktown,90,42,37,51,6,23,16,78,1,4
Isme City,74,1,25,32,3,11,45,59,0,2
Ghieville,52,57,70,75,25,42,53,79,1,4
Kumabville,80,52,52,84,21,44,7,81,1,0
Geeberg,89,85,81,85,23,38,50,89,1,2
Diestville,28,8,41,65,2,19,21,35,1,0
Phoilberg,7,45,16,26,16,27,17,67,1,0
Kiemtown,44,39,17,45,7,26,13,39,1,2
Steampolis,92,63,47,73,7,28,54,97,1,4
Shiemville,55,14,62,91,3,23,50,89,1,4
Nohabville,5,85,56,67,25,29,9,83,1,4
Stuph City,99,52,58,84,1,10,22,33,0,4
Ushutown,67,38,54,74,4,10,10,68,1,3
Mawur City,74,49,68,94,6,9,37,69,0,4
Uspupville,89,60,84,88,23,48,55,70,1,3
Eghapberg,35,97,57,80,25,40,52,85,1,0
Boop City,71,4,35,51,23,48,38,73,0,3
Piequberg,36,70,33,52,20,36,47,77,0,1
Stesp City,35,25,3,23,29,44,25,71,0,2
Naifut City,45,95,67,101,24,42,1,97,1,0
Jesmberg,9,39,81,102,10,32,24,71,1,1
Espipolis,37,16,33,44,26,42,41,64,0,1
Sieytown,74,35,74,103,23,39,38,95,0,1
Smoogpolis,52,83,0,5,23,47,29,31,1,0
Susektown,63,22,60,66,8,23,50,72,1,0
Paiphberg,34,48,6,27,11,34,52,78,0,1
Queepolis,88,14,30,62,5,25,4,30,0,1
Choipolis,93,51,16,31,22,33,32,46,1,1
Tigen City,19,16,66,99,5,13,18,98,0,3
Gehastown,59,49,47,73,25,38,35,77,1,4
Yoacurberg,8,80,61,87,28,47,40,68,1,1
Roipolis,44,62,6,26,17,40,2,54,0,4
Peayestown,9,59,28,31,23,44,2,74,0,1
Istoypolis,11,48,65,90,28,38,50,94,0,0
Pustib City,92,54,56,76,16,19,53,77,0,4
Torarberg,97,81,76,104,18,43,53,67,0,4
Asmaberg,94,39,6,21,23,34,43,64,1,1
Stai City,16,35,23,42,26,44,5,32,1,0
Kusmville,44,71,41,60,30,38,22,29,0,1
Sehut City,7,57,41,67,21,29,13,86,0,1
Pootown,80,94,61,74,2,18,50,85,1,3
Speasville,63,9,70,100,19,31,14,35,0,1
Leafawberg,86,98,58,85,9,24,34,94,0,1
Wishonpolis,2,56,18,52,30,45,12,14,0,1
Doa City,9,41,4,16,27,38,3,79,1,2
Smusm City,85,20,13,31,15,38,23,43,1,4
Ustitown,10,16,84,105,3,16,17,20,0,0
Spoi City,69,65,21,53,29,39,6,13,0,1
Smeshberg,86,37,82,84,5,20,24,41,0,0
Woakocville,45,56,29,55,28,35,52,94,1,2
Achektown,20,15,36,39,20,28,12,99,1,3
Giebuwville,58,94,0,25,9,23,40,68,1,0
Doarudpolis,15,51,50,56,25,38,20,66,0,2
Shuquberg,57,49,60,90,24,28,24,64,1,3
Sheetown,55,27,81,109,25,34,38,78,0,4
Riphimville,100,60,77,108,29,43,41,79,0,0
Jeaberg,4,87,72,98,26,28,4,44,1,3
Ochu City,30,80,8,34,21,35,31,94,1,1
Ghoaytown,38,18,54,89,8,12,10,19,0,1
Hoosttown,97,23,61,94,26,45,16,77,1,4
Weesmtown,26,38,65,89,3,28,53,56,0,4
Paismberg,45,54,51,69,29,45,51,97,1,4
Speejtown,40,98,33,58,18,41,24,78,0,0
Athotown,57,1,77,88,12,16,32,72,0,4
Koop City,48,71,28,63,21,32,14,33,0,0
Reepolis,7,85,85,94,4,10,38,72,0,3
Ghaipolis,95,19,13,28,29,42,53,73,1,3
Kouhpolis,18,42,40,61,0,21,53,74,1,4
Cuthag City,29,10,73,105,5,27,45,63,0,1
Jochberg,49,27,80,100,3,20,48,61,1,4
Tie City,73,6,68,102,0,9,20,50,0,2
Thoop City,11,58,72,76,2,11,30,91,1,2
Gistville,100,8,77,81,24,39,11,88,0,4
Yaphodberg,50,83,70,100,6,19,43,74,0,1
Phoopolis,13,65,47,53,13,19,32,40,1,4
Gichec City,60,22,20,37,29,46,0,51,0,2
Quuchberg,32,37,34,55,24,32,40,80,0,1
Thoattown,91,28,55,76,3,23,17,95,0,1
Looporpolis,37,53,49,64,29,54,43,90,0,4
Chughtown,42,19,56,59,30,48,52,96,1,2
Wooth City,32,30,82,86,26,34,32,66,1,2
Ophilville,33,52,37,61,13,16,38,97,0,1
Riphtown,93,16,28,30,20,29,45,79,0,3
Pishtown,25,17,2,14,21,44,49,95,1,3
Houtown,58,94,8,16,23,34,19,70,1,1
Depettown,19,57,6,13,12,30,35,84,1,4
Hespactown,88,8,57,92,29,41,53,89,0,4
Roig City,19,32,1,33,3,6,45,74,0,3
Geadtown,84,13,51,62,23,27,16,26,0,1
Lanejtown,12,16,84,118,0,22,39,43,0,0
Hoistpolis,43,90,38,70,2,12,15,77,0,1
Chootown,86,78,47,77,19,34,50,77,1,1
Thoutown,27,46,64,71,16,38,50,77,0,1
Fufihberg,68,26,76,82,19,38,50,70,0,1
Mophpolis,75,14,62,66,24,37,50,84,0,4
Bothukberg,59,61,14,32,23,31,49,76,0,0
Gheemberg,26,30,64,71,1,10,6,66,0,2
Foojberg,44,69,44,63,18,30,54,94,1,0
Phaquville,91,83,68,102,29,40,51,66,0,4
Daiqu City,94,15,32,50,16,37,38,49,1,0
Pibuhberg,67,91,27,57,20,43,21,88,0,3
Oshurtown,82,34,67,86,25,39,5,100,1,4
Phespberg,90,10,41,61,15,38,13,38,1,3
Coiqu City,25,5,51,62,7,10,25,80,1,4
Equiftown,67,56,12,21,8,12,26,62,1,0
Stoiville,69,87,65,73,6,11,20,92,0,0
Chooberg,94,68,66,86,13,19,8,28,0,4
Joif City,55,25,69,96,16,37,40,89,1,1
Kaphibville,30,41,7,14,1,4,7,66,0,1
Phustpolis,80,100,41,43,17,28,29,46,1,2
Muphol City,51,63,12,25,30,32,46,53,1,4
Oshu City,31,97,17,43,5,13,53,94,0,4
Boih City,50,83,40,46,17,41,50,63,0,4
Paquetpolis,19,23,74,80,27,49,46,88,0,2
Istuville,80,95,41,56,8,17,42,88,0,0
Loasmberg,83,21,80,108,30,33,25,53,0,0
Smoow City,23,16,48,52,8,32,13,72,0,3
Astitown,92,91,46,71,17,21,40,61,0,4
Push City,62,95,60,73,22,43,0,37,1,3
Cheshville,67,25,3,34,22,36,22,82,1,0
Naiqu City,21,12,10,25,28,38,19,31,0,4
Ospabtown,28,52,26,41,24,46,3,64,1,0
Quuchtown,39,55,42,68,27,37,54,72,1,3
Moithberg,3,19,31,35,19,38,15,29,0,2
Uquucberg,18,91,36,47,11,36,45,93,0,1
Ghoik City,92,48,43,67,21,28,55,61,1,2
Doaville,83,50,4,9,10,13,16,44,0,4
Nietown,97,36,13,22,13,26,48,88,0,4
Phuthtown,3,79,7,26,29,51,13,16,1,3
Phaiville,64,43,72,94,7,29,45,60,1,0
Equipberg,35,51,16,33,14,21,12,37,1,0
Ghoapolis,100,47,45,55,13,26,28,83,1,4
Fupafpolis,42,97,27,52,10,34,20,100,0,0
Nouc City,28,52,51,73,10,15,0,90,1,3
Shaiberg,52,36,3,33,18,37,39,55,0,0
Smoitpolis,59,15,24,41,25,46,37,98,0,0
Phie City,70,50,67,86,9,21,27,34,1,1
Sehagtown,100,10,19,36,24,48,50,64,1,2
Tobuhtown,60,5,69,74,14,20,36,100,0,2
Smightown,87,85,11,27,16,34,40,46,0,3
Bouh City,31,17,76,92,8,14,37,69,1,2
Doigutpolis,37,88,60,86,1,23,12,47,0,2
Chietown,93,35,42,48,16,41,28,87,1,3
Baihville,67,35,73,76,26,43,25,85,1,0
Caiberg,95,12,31,39,22,37,26,84,1,1
Tiewville,21,57,60,74,4,29,26,56,1,0
Feey City,51,2,29,52,18,35,21,33,1,1
Esmewtown,42,28,19,43,18,20,45,100,0,3
Joghifpolis,17,81,53,58,6,31,32,95,0,1
Deeptown,93,76,10,13,26,43,20,39,1,1
Spooyville,76,15,10,43,29,40,3,90,0,1
Foasmberg,18,84,73,93,10,22,2,77,0,0
Giesh City,60,64,55,86,26,29,30,91,0,0
Shouyberg,10,13,35,65,2,20,18,99,0,1
Gethupville,93,48,41,72,26,35,3,95,0,1
Equurville,94,33,38,59,6,26,23,25,1,0
Jistberg,71,15,29,42,20,34,13,40,0,3
Othimberg,24,52,50,61,2,23,17,25,0,2
Iquagpolis,26,47,0,23,18,21,31,89,1,3
Dethville,33,71,29,32,0,24,42,65,0,3
Susmosville,49,57,24,59,0,5,29,61,0,0
Stosm City,36,33,58,69,20,44,50,90,1,1
Smoatown,32,66,25,57,8,15,55,60,1,3
Hai City,95,94,17,39,14,16,15,79,0,4
Tuspujpolis,10,12,5,31,8,26,36,56,1,1
Yiphifpolis,22,44,10,30,25,27,45,59,1,3
Stieville,5,78,35,49,9,19,5,37,1,2
Speag City,91,36,26,57,23,33,0,78,1,1
Soipolis,46,4,65,80,23,46,14,80,1,1
Yaderberg,34,48,40,56,9,25,16,69,0,1
Oshatown,76,1,63,97,20,28,5,44,0,3
Gesmer City,39,80,36,49,11,35,28,67,0,1
Loachtown,12,58,70,72,27,43,55,60,1,3
Ughuville,39,26,83,95,27,33,32,42,0,1
Phusp City,70,45,32,40,2,8,34,67,0,3
Tousmtown,49,8,35,47,2,12,21,32,1,0
Niecberg,81,21,42,73,1,20,32,69,0,0
Ghuthtown,49,64,22,56,19,28,53,72,0,2
Ashubpolis,47,0,76,90,18,21,13,54,0,1
Smoil City,6,9,55,86,2,12,13,45,1,2
Heth City,64,83,10,31,7,16,51,53,0,3
Yaqutown,37,75,41,75,12,20,38,85,1,4
Goahatberg,27,61,85,108,21,42,29,59,0,3
Jispville,87,88,56,78,6,10,54,88,1,0
Seesp City,26,42,58,92,10,27,50,61,0,4
Nuphpolis,76,26,76,91,13,22,0,51,0,1
Thoonpolis,63,67,46,66,19,33,29,83,1,1
Equuw City,76,39,32,57,1,16,36,87,1,0
Cuphville,46,45,68,97,8,29,5,97,1,1
Potirtown,86,77,78,90,10,17,1,8,0,3
Quounville,19,17,67,75,13,25,54,59,0,0
Peebalville,81,41,33,52,26,48,51,78,1,2
Kootown,16,12,81,111,23,25,55,60,1,1
Kien City,33,89,43,69,19,31,22,58,1,4
Neetpolis,60,83,3,17,0,13,39,50,0,1
Teashville,72,73,11,15,12,35,21,95,0,0
Soafugville,65,59,7,20,3,23,24,65,1,4
Pheeville,92,45,67,94,5,25,1,71,0,3
Jaifoltown,76,9,5,38,19,41,51,70,1,0
Hoisville,48,39,78,101,13,28,47,88,1,0
Weawefberg,71,56,17,37,19,21,23,83,0,3
Coibville,79,17,9,28,12,29,8,58,1,3
Leektown,89,22,46,58,24,26,42,82,0,4
Istampolis,52,96,71,79,24,47,6,63,1,4
Peaville,16,58,19,48,24,28,27,40,1,4
Leasokberg,39,27,48,70,26,49,18,83,1,4
Yuthettown,7,0,56,84,5,26,20,76,1,1
Asmotown,43,2,85,117,21,40,35,75,0,1
Chie City,59,63,81,110,25,35,24,69,0,4
Doopolis,52,21,85,103,26,32,2,12,0,3
Eshurpolis,75,38,84,112,30,47,4,96,0,1
Ighudtown,55,47,73,96,11,31,41,60,0,1
Soaptown,16,90,44,72,14,21,25,60,1,3
Smuphpolis,98,80,26,48,7,24,26,58,0,0
Giegegville,40,45,62,86,21,42,40,87,0,0
Teejumpolis,51,83,13,34,20,22,9,33,0,0
Yeegtown,52,29,85,97,16,40,43,79,1,2
Saiberg,54,91,8,12,29,33,6,79,0,3
Puthpolis,44,22,5,19,19,38,23,44,0,3
Caim City,47,77,33,39,0,23,8,37,1,0
Yieville,68,2,66,71,20,39,37,61,0,2
Quaquberg,64,85,76,109,8,14,1,89,1,3
Setectown,32,38,58,68,22,42,32,88,0,3
Custberg,84,87,3,9,4,21,40,51,0,3
Sitefberg,33,2,77,96,11,16,21,26,1,2
Stairtown,37,12,27,30,27,39,3,81,0,0
Gea City,92,72,78,113,11,19,20,23,0,1
Oquob City,52,32,36,57,15,31,40,68,1,3
Shoimberg,38,7,54,83,6,19,41,66,1,0
Phoapolis,5,54,73,107,1,6,8,59,1,4
Phoqutown,55,39,21,33,23,41,0,40,0,3
Teesugpolis,1,32,0,11,18,38,50,90,1,3
Ushopolis,83,39,9,33,5,26,2,36,0,2
Ephiville,1,91,19,23,20,27,47,72,0,1
Thee City,100,25,82,97,30,40,52,74,0,2
Kismville,95,18,16,50,10,30,34,56,0,0
Seawokpolis,48,68,67,79,23,41,39,80,0,0
Spaipolis,78,47,72,74,23,25,5,29,0,3
Osmeberg,66,15,70,98,4,17,11,89,1,4
Lakohville,34,61,22,52,28,47,6,41,1,4
Toupolis,58,26,29,62,13,28,46,92,1,4
Kouberg,62,96,35,54,20,45,7,98,1,0
Wighegpolis,67,92,21,24,18,43,38,56,1,0
Cicilpolis,51,66,19,54,10,29,16,95,1,4
Iquotpolis,63,55,57,81,14,36,15,41,1,0
Posptown,28,67,16,44,7,24,35,37,0,0
Coighpolis,15,58,6,27,23,47,48,99,1,0
Wightown,55,77,23,56,4,29,41,46,0,1
Beth City,34,32,45,78,19,23,10,34,1,3
Eghagtown,42,25,71,82,10,25,13,21,1,4
Pojak City,37,75,55,81,26,42,37,51,1,1
Rispberg,4,60,32,62,7,17,21,52,1,3
Mirudpolis,94,7,19,37,28,38,17,44,1,4
Yesptown,28,18,19,53,6,20,17,79,1,3
Espe City,32,33,39,45,17,41,28,60,0,4
Jicut City,71,49,5,22,17,24,3,19,1,2
Usme City,33,45,42,50,0,4,37,57,0,1
Fijofberg,65,34,39,51,30,46,48,58,1,2
Wouwewville,79,51,64,76,15,39,28,82,0,3
Nasmulville,2,49,31,65,12,35,45,97,0,2
Shoiwberg,82,16,33,41,27,38,0,60,0,2
Papenberg,64,38,62,83,17,32,49,75,1,4
Meepolis,43,6,28,61,23,35,34,40,0,2
Ismij City,86,46,28,46,13,16,15,23,0,3
Caich City,19,34,32,38,2,13,36,62,1,3
Spusppolis,19,27,49,77,1,22,36,50,1,1
Tieyir City,34,5,10,12,3,15,45,49,1,0
Hoi City,30,89,42,73,3,19,8,37,0,1
Yoitown,19,87,7,31,26,36,10,23,0,2
Roofville,64,81,56,60,15,19,47,60,1,2
Thoukpolis,86,3,45,53,27,43,41,84,0,4
Chaih City,78,79,0,30,9,15,22,54,1,2
Goithtown,95,80,22,25,3,19,0,59,0,1
Koisttown,3,71,42,61,8,28,4,60,1,0
Cufebpolis,79,97,33,52,20,44,50,83,1,1
Sathville,10,11,83,99,5,15,36,57,1,2
Stoaberg,3,37,9,31,11,16,43,91,1,1
Tituyberg,34,96,62,69,19,23,53,63,0,0
Ispiytown,39,97,8,40,29,38,15,82,0,4
Spiphville,6,43,15,50,25,27,41,46,0,0
Eghicpolis,59,83,82,91,29,38,33,92,1,3
Sposptown,11,23,49,83,12,26,5,68,0,1
Thoth City,70,16,81,106,4,23,52,100,0,3
Steetown,48,100,35,40,5,24,14,57,1,1
Oghal City,63,56,71,88,30,44,32,100,1,0
Cispville,73,95,77,82,10,23,17,54,0,1
Buspagtown,52,3,18,24,1,10,16,47,0,1
Ashojtown,93,10,24,55,3,14,8,75,0,2
Taiville,26,49,16,25,4,27,40,88,0,3
Postuk City,10,64,70,82,27,31,37,97,1,0
Soistville,2,2,10,27,6,25,10,25,0,0
Peeberg,86,32,14,37,25,45,10,46,0,4
Laphampolis,13,60,40,44,11,19,0,27,0,4
Geaberg,19,10,46,69,26,30,53,55,1,4
Espeville,72,15,50,60,16,30,30,57,0,4
Siesacpolis,23,15,41,43,6,10,28,75,0,0
Telen City,68,73,32,48,21,43,51,96,1,4
Jashihville,49,88,44,56,0,2,49,78,0,2
Hoichville,77,46,31,54,6,20,44,49,0,1
Mosmad City,60,54,81,88,17,25,18,26,0,0
Goth City,68,3,31,44,15,37,32,60,0,0
Hoich City,72,7,81,103,8,33,28,87,0,4
Rouhugpolis,26,10,48,71,10,21,18,90,0,4
Phoqutown,45,35,50,80,20,32,50,59,0,2
Reepolis,51,75,44,55,17,25,1,69,0,3
Ostuberg,7,31,79,91,11,35,54,91,0,0
Japhimpolis,21,58,62,72,17,27,5,58,1,4
Stouhtown,96,38,22,40,25,35,24,39,0,0
Cash City,76,23,54,59,16,41,5,41,1,2
Uchupolis,73,2,27,42,23,45,42,82,0,4
Paichtown,72,39,77,90,1,24,29,68,1,4
Soupolis,100,9,48,70,16,40,15,46,1,1
Luth City,25,35,36,64,6,31,14,78,0,4
Stiepolis,37,92,72,80,26,40,24,27,0,0
Resppolis,83,30,22,53,0,18,50,55,1,4
Phooville,78,76,55,83,20,43,0,99,0,0
Stoaspolis,54,23,60,95,24,39,0,36,0,2
Choidtown,43,64,63,65,4,23,18,85,0,1
Quothberg,9,22,79,108,29,49,2,10,0,0
Deaghpolis,74,15,50,60,8,23,46,50,0,0
Yoapolis,89,58,40,66,29,34,22,58,0,2
Ciheg City,64,95,4,35,14,24,19,81,0,2
Queejberg,93,38,14,21,25,45,8,30,0,1
Thoo City,9,86,74,106,14,23,7,44,0,3
Othaville,67,1,64,84,16,34,3,37,1,3
Doodolville,21,97,75,92,15,23,1,9,0,2
Taiwpolis,14,67,68,94,12,30,31,50,1,2
Ghoabtown,25,10,15,19,7,25,5,88,0,1
Utheville,74,61,7,27,15,23,45,59,1,0
Cearville,52,52,84,98,1,11,33,51,0,0
Thosmberg,62,99,21,29,11,23,20,89,1,0
Quuthtown,99,38,45,78,0,23,1,28,1,4
Seastpolis,92,21,44,63,5,13,16,40,0,3
Gooc City,29,28,2,32,19,41,33,58,0,1
Ighowtown,97,65,1,11,21,23,16,97,1,0
Lea City,51,36,36,46,4,21,43,53,1,4
Richberg,23,99,29,57,20,31,16,83,1,1
Laitberg,99,46,33,59,23,45,0,64,0,3
Rismigpolis,3,11,1,27,7,19,31,51,1,2
Ismicville,89,48,69,92,5,23,42,78,1,1
Tasmville,51,17,36,67,22,32,13,79,1,3
Wachpolis,9,76,77,110,5,12,37,58,0,3
Echeville,94,29,34,40,1,17,47,77,0,2
Duchpolis,32,90,81,98,26,34,14,81,0,3
Chash City,84,80,4,31,2,15,40,56,0,4
Laist City,22,77,53,79,26,48,19,58,0,2
Speefville,90,38,66,76,13,17,14,34,1,1
Ghichtown,28,38,7,9,14,25,24,72,0,4
Booqutown,1,10,66,97,7,32,3,45,1,1
Sespberg,99,50,51,73,21,29,24,38,0,4
Smienberg,97,54,27,31,2,8,40,80,0,1
Feahville,40,45,14,35,30,51,53,99,0,3
Soighville,15,35,15,17,14,38,32,59,0,2
Ophatown,49,49,37,56,4,21,6,11,0,2
Mosptown,19,30,14,44,29,46,12,75,0,0
Smaqupolis,13,48,19,31,11,36,19,70,1,3
Hoaphville,78,67,85,112,4,8,52,63,0,2
Iphipolis,51,21,13,37,8,26,6,17,0,2
Esmepolis,59,71,63,65,20,34,39,71,1,0
Spephville,2,20,55,63,19,41,5,20,1,1
Ceatown,54,72,16,46,15,35,8,71,0,3
Doapertown,50,14,3,8,13,35,45,94,1,1
Boinpolis,15,11,70,86,22,26,40,82,1,0
Chothberg,100,37,48,82,12,19,2,65,1,3
Staikville,71,40,32,59,21,42,13,67,0,4
Losmtown,75,27,1,32,6,13,1,82,1,0
Koaberg,9,53,52,71,22,33,31,74,1,4
Kieville,49,65,55,83,11,27,14,42,0,4
Joodestown,91,17,26,46,29,53,3,76,0,0
Tuliptown,96,24,14,19,9,34,46,89,0,0
Woiphberg,63,84,73,90,23,43,26,65,1,4
Beasmville,63,14,41,64,13,32,7,31,0,2
Dourville,69,47,23,51,22,28,30,74,1,0
Pewun City,25,52,20,52,14,36,1,51,0,0
Coifabville,82,4,41,57,27,48,45,48,0,1
Boolville,81,27,78,99,6,17,40,76,1,4
Stiehpolis,74,30,66,81,6,10,4,43,1,0
Upho City,29,85,9,34,11,27,27,41,0,4
Moil City,94,14,55,87,4,22,25,31,0,3
Woisp City,16,10,55,57,25,34,42,91,1,3
Putasville,46,13,51,85,29,32,8,82,0,3
Thugh City,74,61,37,47,22,34,51,55,1,0
Ghiefpolis,92,66,77,90,11,19,26,32,1,3
Geahufberg,74,5,82,84,7,22,43,95,0,4
Loipanberg,21,24,42,46,27,51,17,26,0,1
Teestpolis,57,15,8,28,20,28,29,73,1,0
Niepolis,11,82,17,52,30,46,12,20,1,2
Thouyville,37,23,1,22,15,17,45,96,0,3
Wiesm City,93,2,81,100,25,31,49,79,1,2
Caquberg,48,9,72,105,6,24,18,65,1,4
Payilpolis,18,58,70,83,7,22,1,47,0,0
Heediwpolis,87,19,40,57,15,20,0,92,1,2
Siphpolis,92,48,26,49,5,24,31,92,0,4
Ruchojberg,67,8,53,74,16,29,26,82,1,0
Osho City,35,65,45,62,13,26,30,57,0,1
Uthajtown,6,17,78,86,0,19,18,58,0,4
Ceefville,28,19,68,103,0,2,44,66,0,1
Ephay City,49,15,26,36,8,26,12,96,1,3
Ichah City,1,11,45,80,7,27,8,74,0,0
Roajville,89,77,12,18,14,17,36,85,1,3
Paisppolis,11,90,20,35,28,48,45,94,1,3
Goupolis,99,61,76,79,23,31,23,27,0,1
Buquville,98,11,5,40,7,11,55,70,0,0
Shighpolis,81,59,22,41,30,55,12,68,0,2
Hashektown,22,44,59,85,29,37,39,71,1,2
Foutown,9,13,69,98,5,13,40,50,1,0
Steaville,6,4,83,103,14,39,28,54,1,4
Heab City,82,93,20,44,30,52,30,100,1,4
Ghaim City,75,9,54,64,23,37,3,94,1,2
Fojifberg,31,34,32,59,20,38,20,86,1,1
Goutpolis,79,37,7,20,21,34,19,26,0,0
Quou City,66,89,55,84,13,29,54,88,0,0
Liebaftown,54,34,57,72,20,40,1,37,1,1
Iquelville,66,9,61,91,29,54,29,86,1,1
Peaville,69,75,15,37,26,38,54,94,0,4
Faspahville,88,37,68,83,12,26,46,93,1,0
Ceacville,85,84,67,75,26,37,33,57,0,3
Yoadville,93,46,66,89,2,5,33,54,0,2
Shaghtown,86,6,48,81,16,19,6,61,0,2
Pich City,99,48,19,36,19,32,32,42,0,2
Quusmpolis,54,57,10,41,5,25,12,45,0,0
Koapolis,28,62,62,94,17,21,25,28,1,3
Woa City,50,31,72,94,23,28,40,61,1,0
Sierurville,88,45,69,87,22,45,43,71,0,4
Mequopberg,87,69,26,40,16,33,29,82,1,4
Siecofpolis,96,50,64,85,12,33,45,96,0,4
Dieth City,84,15,47,66,25,45,38,60,0,0
Ache City,41,93,73,98,20,36,43,100,1,3
Goocupville,95,89,65,85,20,38,32,60,1,1
Nalehtown,17,13,65,73,4,21,11,38,1,3
Rainiw City,3,53,46,58,28,47,28,60,0,2
Uspukville,16,4,53,86,6,22,33,83,1,0
Woanpolis,51,5,20,32,2,16,11,45,1,3
Ghoa City,91,76,21,41,24,33,37,78,1,3
Smeep City,86,6,66,94,7,16,51,84,0,4
Wothtown,16,23,7,10,8,20,0,40,0,2
Esheyberg,30,11,72,96,1,23,47,61,0,2
Asmutown,51,93,77,82,11,29,42,52,1,1
Eshutown,2,17,43,52,1,23,35,91,0,1
Thoimtown,25,2,72,92,23,32,51,88,0,1
Spoiberg,61,10,29,54,1,12,54,93,0,1
Chost City,95,93,81,88,7,24,15,29,1,2
Smoitown,69,11,63,72,28,42,8,11,0,1
Sheapolis,24,53,85,118,23,43,42,70,0,3
Quie City,9,68,50,60,15,17,37,82,0,1
Buhek City,20,67,49,65,27,38,10,62,1,3
Toihobville,32,36,4,12,28,44,14,84,1,1
Teach City,96,95,50,64,20,24,42,81,1,3
Kethpolis,36,76,66,74,0,19,15,77,0,3
Nakamberg,64,81,45,57,4,17,17,29,1,3
Iquoville,34,76,30,47,4,11,11,62,0,0
Stastberg,89,92,66,72,22,24,6,42,0,1
Meshpolis,72,31,23,37,20,29,34,47,0,2
Uquuttown,56,90,65,81,6,11,33,83,0,4
Smeasberg,93,42,1,34,0,9,22,40,1,2
Esmo City,9,44,56,91,9,19,8,12,0,2
Fepinpolis,36,84,54,86,8,25,28,39,1,2
Fou City,46,27,85,112,29,44,45,54,1,2
Faiwomberg,0,37,21,56,26,47,37,96,0,1
Spoagtown,46,17,82,105,18,27,38,59,1,2
Caiville,80,59,12,39,19,42,5,93,1,1
Foiwupberg,23,93,83,94,24,31,45,94,0,3
Quoupberg,61,31,26,47,3,14,21,23,0,2
Oquijberg,29,81,66,92,21,44,40,91,0,1
